Word,Meaning
cup,杯子
customer,顾客
cut,切
cycling,骑自行车
dad,爸爸
dance,跳舞
dancer,舞蹈演员
dancing,跳舞（名词）
dangerous,危险的
dark,黑暗的
date,日期
daughter,女儿
day,天
dear,亲爱的
decide,决定
delicious,美味的
describe,描述
description,描述
design,设计
desk,书桌
detail,细节
dictionary,词典
die,死
difference,差异
different,不同的
difficult,困难的
dinner,晚餐
direction,方向
dirty,脏的
discuss,讨论
discussion,讨论
dish,盘子 / 菜
do,做
doctor,医生
dog,狗
dollar,美元
door,门
down,向下
download,下载
draw,画
dream,梦
dress,连衣裙
drink,喝 / 饮料
drive,驾驶
driver,司机
drop,掉落
drugstore,药店
dry,干的
during,在……期间
each,每一个
ear,耳朵
early,早的 / 早地
earn,赚
earth,地球
east,东
easy,容易的
eat,吃
egg,鸡蛋
eight,八
eighteen,十八
eighty,八十
either,也（否定句）
elephant,大象
eleven,十一
else,其他的
email,电子邮件
end,结束
engine,发动机
engineer,工程师
enjoy,享受
enough,足够的
enter,进入
entrance,入口
environment,环境
equal,平等的
eraser,橡皮
especially,特别是
even,甚至
evening,晚上
event,事件
ever,曾经
every,每一个
everybody,每个人
everyone,每个人
everything,每件事
everywhere,到处
example,例子
excellent,优秀的
except,除了
excited,兴奋的
exciting,令人兴奋的
excuse,借口
exercise,锻炼
expensive,昂贵的
experience,经历
explain,解释
eye,眼睛
face,脸
fact,事实
fail,失败
fall,落下
family,家庭
famous,著名的
far,远的
farm,农场
farmer,农民
fast,快速的 / 快速地
fat,胖的
father,父亲
favourite,最喜欢的
February,二月
feel,感觉
feeling,感觉（名词）
few,很少
field,田地
fifteen,十五
fifty,五十
fight,打架
final,最终的
finally,最后
find,找到
fine,好的
finger,手指
finish,完成
fire,火
first,第一
fish,鱼
fishing,钓鱼
five,五
floor,地板
flower,花
fly,飞
follow,跟随
food,食物
foot,脚
football,足球
for,为了
foreign,外国的
forest,森林
forget,忘记
fork,叉子
form,表格
forty,四十
four,四
fourteen,十四
free,免费的 / 空闲的
Friday,星期五
friend,朋友
friendly,友好的
from,来自
front,前面
fruit,水果
full,满的
fun,有趣的
funny,滑稽的
furniture,家具
future,未来
game,游戏
garden,花园
gas,煤气 / 汽油
gate,大门
geography,地理
get,得到
girl,女孩
girlfriend,女朋友
give,给
glass,玻璃 / 玻璃杯
glasses,眼镜
go,去
goal,目标
god,上帝
gold,金子
good,好的
goodbye,再见
goose,鹅
grandchild,孙子 / 孙女
grandfather,祖父
grandmother,祖母
grandparent,祖父母
grass,草
great,伟大的 / 很棒的
green,绿色的
grey,灰色的
guitar,吉他
gun,枪
hair,头发
half,一半
hall,大厅
hand,手
handbag,手提包
happen,发生
happy,快乐的
hard,努力的 / 硬的
hat,帽子
hate,讨厌
have,有
he,他
head,头
headache,头痛
health,健康
healthy,健康的
hear,听见
heart,心
heat,加热 / 热
heavy,重的
hello,你好
help,帮助
her,她的
here,这里
hero,英雄
hers,她的（物主代词）
herself,她自己
hi,嗨
high,高的
hill,小山
him,他（宾格）
himself,他自己
his,他的
history,历史
hit,打
hobby,爱好
hold,拿住
hole,洞
holiday,假期
home,家
homework,家庭作业
honest,诚实的
honey,蜂蜜 / 亲爱的
hope,希望
horse,马
hospital,医院
hot,热的
hotel,旅馆
hour,小时
house,房子
how,怎样
however,然而
huge,巨大的
hungry,饿的
hurry,匆忙
hurt,伤害
husband,丈夫
ice,冰
ice-cream,冰淇淋
idea,主意
if,如果
ill,生病的
important,重要的
improve,提高
in,在……里面
include,包括
increase,增加
information,信息
inside,里面
instead,代替
instruction,指令
interest,兴趣
interested,感兴趣的
interesting,有趣的
international,国际的
internet,互联网
into,进入
introduce,介绍
introduction,介绍
invitation,邀请
invite,邀请
is,是
island,岛
it,它
its,它的
itself,它自己
jacket,夹克
jeans,牛仔裤
job,工作
join,加入
joke,笑话
journey,旅程
joy,喜悦
juice,果汁
jump,跳
just,刚刚 / 只是
keep,保持
key,钥匙
kick,踢
kid,小孩
kill,杀
kind,种类 / 友善的
king,国王
kitchen,厨房
knee,膝盖
knife,刀
know,知道
knowledge,知识
land,土地
language,语言
large,大的
last,最后的
late,晚的
later,后来
laugh,笑
law,法律
lay,放置
lazy,懒惰的
lead,领导
leader,领导者
learn,学习
least,最少
leave,离开
left,左边 / 离开
leg,腿
lemon,柠檬
lend,借出
less,较少
lesson,课
let,让
letter,信
library,图书馆
lie,躺 / 撒谎
life,生活
lift,电梯
light,光 / 轻的
like,喜欢
line,线 / 排队
lion,狮子
list,列表
listen,听
little,小的
live,居住
long,长的
look,看
lose,失去
lot,许多
loud,大声的
love,爱
lovely,可爱的
low,低的
lucky,幸运的
lunch,午餐
machine,机器
mad,疯的
magazine,杂志
mail,邮件
main,主要的
make,制造
man,男人
many,许多
map,地图
market,市场
married,已婚的
marry,结婚
match,比赛 / 匹配
material,材料
matter,事情 / 要紧
may,可以 / 五月
maybe,也许
me,我（宾格）
meal,一餐
mean,意思是
meaning,意义
meat,肉
medicine,药
meet,遇见
meeting,会议
member,成员
memory,记忆
men,男人（复数）
message,信息
metal,金属
meter,米
midday,正午
middle,中间
might,可能
mile,英里
milk,牛奶
million,一百万
mind,介意 / 思想
mine,我的（物主代词）
minute,分钟
miss,想念 / 小姐
mistake,错误
mix,混合
model,模型 / 模特
modern,现代的
moment,片刻
money,钱
monkey,猴子
month,月份
moon,月亮
more,更多
morning,早上
most,最多
mother,母亲
mountain,山
mouse,老鼠
mouth,嘴
move,移动
movie,电影
much,多
music,音乐
musician,音乐家
must,必须
my,我的
myself,我自己
name,名字
narrow,狭窄的
nation,国家
national,国家的
natural,自然的
nature,自然
near,近的
nearly,几乎
neat,整洁的
necessary,必要的
neck,脖子
need,需要
needle,针
neighbour,邻居
neither,也不
net,网
never,从不
new,新的
news,新闻
newspaper,报纸
next,下一个
nice,好的
night,夜晚
nine,九
nineteen,十九
ninety,九十
no,不
noise,噪音
noisy,吵闹的
none,没有一个
noon,中午
nor,也不
north,北
nose,鼻子
not,不
note,笔记
nothing,没有东西
notice,注意
now,现在
number,数字
nurse,护士
object,物体
ocean,海洋
of,…的
off,关闭 / 离开
offer,提供
office,办公室
officer,官员
often,经常
oil,油
old,老的
on,在……上
once,一次
one,一
only,只有
open,打开 / 开着的
opinion,意见
opposite,相反的
or,或者
orange,橙子 / 橙色
order,命令 / 订单
other,其他的
our,我们的
ours,我们的（物主代词）
ourselves,我们自己
out,出去
outside,外面
over,在……上方
own,自己的
owner,拥有者
page,页
pain,疼痛
paint,涂料 / 画
painter,画家
painting,绘画
pair,一对
paper,纸
paragraph,段落
parent,父母
park,公园
part,部分
partner,伙伴
party,聚会
pass,通过
passenger,乘客
passport,护照
past,过去
path,小路
pay,支付
peace,和平
pen,钢笔
pencil,铅笔
people,人们
pepper,胡椒
per,每
perfect,完美的
perform,表演
perhaps,也许
period,时期
person,人
personal,个人的
pet,宠物
phone,电话
photo,照片
photograph,照片
photographer,摄影师
physics,物理
piano,钢琴
pick,挑选
picture,图片
piece,一片
pig,猪
pilot,飞行员
pink,粉红色的
pity,遗憾
place,地方
plan,计划
plane,飞机
planet,行星
plant,植物
plastic,塑料
plate,盘子
play,玩 / 戏剧
player,选手
pleasant,令人愉快的
please,请
pleased,高兴的
pleasure,愉快
plenty,充足
pocket,口袋
poem,诗
poet,诗人
point,点 / 指
police,警察
policeman,警察（男）
policewoman,警察（女）
policy,政策
polite,有礼貌的
pool,泳池
poor,贫穷的
popular,受欢迎的
population,人口
position,位置
possible,可能的
post,邮寄 / 岗位
postcard,明信片
poster,海报
pot,罐子
potato,土豆
pound,磅
pour,倒
power,力量
practice,练习
prefer,更喜欢
prepare,准备
present,礼物 / 出席的
president,总统
pretty,漂亮的
price,价格
print,打印
printer,打印机
private,私人的
probably,可能
problem,问题
process,过程
produce,生产
product,产品
profession,职业
program,节目 / 程序
progress,进步
project,项目
promise,承诺
pronounce,发音
pronunciation,发音
protect,保护
proud,自豪的
provide,提供
public,公众的
pull,拉
push,推
put,放
puzzle,难题 / 拼图
quality,质量
quarter,四分之一
queen,女王
question,问题
quick,快的
quickly,快速地
quiet,安静的
quite,相当
rabbit,兔子
race,比赛
radio,收音机
rain,雨
rainy,下雨的
raise,举起
reach,到达
read,读
reader,读者
reading,阅读
ready,准备好的
real,真实的
really,真的
reason,原因
receive,接收
record,记录
red,红色的
reduce,减少
reflect,反射
refrigerator,冰箱
refuse,拒绝
region,地区
regular,规律的
relation,关系
relationship,关系
relax,放松
relaxed,放松的
relaxing,令人放松的
rely,依赖
remain,保持
remember,记得
remind,提醒
remove,移除
rent,租
repair,修理
repeat,重复
replace,替换
reply,回复
report,报告
reporter,记者
represent,代表
request,请求
require,需要
research,研究
reservation,预订
reserve,预订
resort,度假村
respect,尊重
responsible,负责的
rest,休息
restaurant,餐馆
result,结果
return,返回
review,复习
rice,米饭
rich,富有的
ride,骑
right,右边 / 对的
ring,戒指 / 打电话
rise,上升
river,河流
road,道路
rock,岩石
roof,屋顶
room,房间
root,根
rope,绳子
rose,玫瑰
round,圆的
route,路线
row,排
rubber,橡胶 / 橡皮
rude,粗鲁的
rug,小地毯
rule,规则
run,跑
runner,跑步者
running,跑步
sad,伤心的
safe,安全的
safety,安全
sail,航行
sailing,航海
salt,盐
same,相同的
sand,沙
sauce,酱汁
save,保存 / 节省
say,说
scale,比例 / 规模
school,学校
science,科学
scientist,科学家
scissors,剪刀
score,得分
sea,海
season,季节
seat,座位
second,第二 / 秒
secret,秘密
section,部分
see,看见
seed,种子
seem,似乎
sell,卖
send,发送
sense,感觉 / 意义
sentence,句子
serious,严重的
servant,仆人
service,服务
set,设置
settle,解决
seven,七
seventeen,十七
seventy,七十
several,几个
shake,摇动
shall,将要
shape,形状
share,分享
she,她
sheep,羊
sheet,床单 / 一张
shelf,架子
shine,照耀
ship,船
shirt,衬衫
shoe,鞋子
shop,商店
shopping,购物
short,短的
should,应该
shoulder,肩膀
shout,喊叫
show,展示 / 表演
shower,淋浴
sick,生病的
side,边
sidewalk,人行道
sight,视力 / 景象
sign,标志 / 签名
signal,信号
silence,寂静
silent,安静的
silver,银
similar,相似的
simple,简单的
since,自从
sing,唱歌
singer,歌手
single,单一的
sister,姐妹
sit,坐
site,地点
situation,情况
six,六
sixteen,十六
sixty,六十
size,尺寸
skate,滑冰
ski,滑雪
skill,技能
skin,皮肤
skirt,裙子
sky,天空
sleep,睡觉
sleepy,困倦的
slide,滑动 / 幻灯片
slow,慢的
slowly,慢慢地
small,小的
smart,聪明的
smell,气味 / 闻
smile,微笑
smoke,烟 / 抽烟
snake,蛇
snow,雪
snowy,下雪的
so,所以 / 如此
soap,肥皂
soccer,足球
social,社会的
society,社会
sock,袜子
soft,柔软的
some,一些
somebody,某人
someone,某人
something,某事
sometimes,有时
somewhere,某地
son,儿子
song,歌曲
soon,很快
sorry,抱歉的
sort,种类
sound,声音 / 听起来
soup,汤
south,南
space,空间
speak,说
speaker,说话者
special,特别的
specific,具体的
speech,演讲
speed,速度
spell,拼写
spend,花费
spoon,勺子
sport,运动
sportsman,运动员
spot,地点 / 斑点
spring,春天 / 弹簧
square,广场 / 正方形
stand,站立
star,星星
start,开始
state,州 / 状态
station,车站
stay,停留
steak,牛排
steal,偷
step,步伐
still,仍然
stomach,胃
stone,石头
stop,停止
store,商店
storm,风暴
story,故事
straight,直的
strange,奇怪的
street,街道
strength,力量
strong,强壮的
student,学生
study,学习
stuff,东西
stupid,愚蠢的
style,风格
subject,科目
success,成功
successful,成功的
such,这样的
sugar,糖
suggest,建议
suit,西装 / 适合
summer,夏天
sun,太阳
Sunday,星期天
sunny,晴朗的
supermarket,超市
supper,晚餐
supply,供应
support,支持
sure,确定的
surface,表面
surprise,惊讶
surprised,吃惊的
surprising,令人吃惊的
swim,游泳
swimming,游泳
swimsuit,泳衣
swing,秋千 / 摇摆
switch,开关
table,桌子
tail,尾巴
take,拿 / 取
talk,谈话
tall,高的
tank,水箱 / 坦克
tape,胶带 / 录音带
task,任务
taste,味道 / 尝
taxi,出租车
tea,茶
teach,教
teacher,老师
team,队伍
tear,眼泪 / 撕裂
technology,技术
telephone,电话
television,电视
tell,告诉
temperature,温度
ten,十
tennis,网球
tent,帐篷
term,学期 / 术语
terrible,可怕的
test,测试
text,文本
than,比
thank,感谢
thanks,谢谢
that,那个
the,这/那（定冠词）
theatre,剧院
their,他们的
theirs,他们的（物主代词）
them,他们
themselves,他们自己
then,然后
there,那里
these,这些
they,他们
thick,厚的
thin,瘦的 / 薄的
thing,东西
think,想
third,第三
thirsty,口渴的
thirteen,十三
thirty,三十
this,这个
those,那些
though,虽然
thought,想法
thousand,一千
three,三
through,通过
throw,扔
ticket,票
tie,领带 / 系
tiger,老虎
till,直到
time,时间
timetable,时间表
tired,累的
title,标题
to,到
today,今天
toe,脚趾
together,一起
toilet,厕所
tomato,西红柿
tomorrow,明天
tonight,今晚
too,太 / 也
tool,工具
tooth,牙齿
toothbrush,牙刷
toothpaste,牙膏
top,顶部
topic,话题
total,总共
touch,触摸
tour,旅游
tourist,游客
toward,朝向
town,小镇
toy,玩具
track,跑道 / 轨道
train,火车 / 训练
trainer,教练
training,训练
travel,旅行
tray,托盘
tree,树
trip,旅行
trouble,麻烦
truck,卡车
true,真实的
trust,信任
try,尝试
turn,转弯 / 轮到
twelve,十二
twenty,二十
twice,两次
twin,双胞胎
two,二
type,类型
umbrella,伞
uncle,叔叔
under,在……下面
understand,理解
unit,单元
university,大学
until,直到
up,向上
upon,在……之上
us,我们（宾格）
use,使用
useful,有用的
usual,通常的
usually,通常
vacation,假期
valley,山谷
valuable,有价值的
value,价值
variety,多样性
various,各种各样的
vegetable,蔬菜
vehicle,车辆
very,非常
video,视频
view,视野 / 观点
village,村庄
visit,拜访
visitor,游客
voice,声音
volleyball,排球
vote,投票
wait,等待
waiter,男服务员
waitress,女服务员
wake,醒来
walk,走路
wall,墙
want,想要
war,战争
warm,温暖的
warn,警告
wash,洗
watch,手表 / 观看
water,水
wave,波浪 / 挥手
way,道路 / 方式
we,我们
weak,虚弱的
wealth,财富
wealthy,富有的
weapon,武器
wear,穿
weather,天气
web,网
website,网站
week,周
weekend,周末
weigh,称重
weight,重量
welcome,欢迎
well,好 / 井
west,西
wet,湿的
what,什么
wheel,轮子
when,什么时候
where,哪里
whether,是否
which,哪一个
while,当……的时候
white,白色的
who,谁
whole,整个的
whose,谁的
why,为什么
wide,宽的
wife,妻子
wild,野生的
will,将要
win,赢
wind,风
window,窗户
wine,葡萄酒
wing,翅膀
winner,获胜者
winter,冬天
wire,电线
wise,聪明的
wish,希望
with,和
within,在……之内
without,没有
woman,女人
women,女人（复数）
wonder,想知道
wonderful,精彩的
wood,木头
wooden,木制的
word,单词
work,工作
worker,工人
working,工作的
world,世界
worry,担心
worried,担心的
worse,更糟的
worst,最糟的
worth,值得的
would,将会
write,写
writer,作家
writing,写作
wrong,错误的
yard,院子
year,年
yellow,黄色的
yes,是的
yesterday,昨天
yet,还 / 但是
you,你
young,年轻的
your,你的
yours,你的（物主代词）
yourself,你自己
youth,青年
zero,零
zoo,动物园
